Book Name,Rating,Price,Availability
The Secret Garden,Four,$15.08,In stock
The Metamorphosis,One,$28.58,In stock
The Pilgrim's Progress,Two,$50.26,In stock
The Hound of the Baskervilles (Sherlock Holmes #5),Two,$14.82,In stock
Little Women (Little Women #1),Four,$28.07,In stock
Gone with the Wind,Three,$32.49,In stock
Candide,Three,$58.63,In stock
Animal Farm,Three,$57.22,In stock
Wuthering Heights,Three,$17.73,In stock
The Picture of Dorian Gray,Two,$29.70,In stock
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Four,$26.78,In stock
Beowulf,Two,$38.35,In stock
And Then There Were None,Two,$35.01,In stock
The Story of Hong Gildong,Four,$43.19,In stock
The Little Prince,Two,$45.42,In stock
Sense and Sensibility,One,$37.46,In stock
Of Mice and Men,Two,$47.11,In stock
Emma,Two,$32.93,In stock
Alice in Wonderland (Alice's Adventures in Wonderland #1),One,$55.53,In stock
