Book Name,Rating,Price ,Availability
Sophie's World,Five,$15.94,In stock
The Death of Humanity: and the Case for Life,Four,$58.11,In stock
The Stranger,Four,$17.44,In stock
Proofs of God: Classical Arguments from Tertullian to Barth,One,$54.21,In stock
Kierkegaard: A Christian Missionary to Christians,One,$47.13,In stock
"At The Existentialist Caf : Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Five,$29.93,In stock
Critique of Pure Reason,One,$20.75,In stock
"Run, Spot, Run: The Ethics of Keeping Pets",One,$20.02,In stock
The Nicomachean Ethics,One,$36.34,In stock
Meditations,Two,$25.89,In stock
Beyond Good and Evil,One,$43.38,In stock
