Book Name,Rating,Price,Availability
Chase Me (Paris Nights #2),Five,$25.27,In stock
Black Dust,Five,$34.53,In stock
Her Backup Boyfriend (The Sorensen Family #1),One,$33.97,In stock
First and First (Five Boroughs #3),Four,$15.97,In stock
Fifty Shades Darker (Fifty Shades #2),One,$21.96,In stock
The Wedding Dress,One,$24.12,In stock
Suddenly in Love (Lake Haven #1),Two,$55.99,In stock
Something More Than This,Four,$16.24,In stock
Doing It Over (Most Likely To #1),Three,$35.61,In stock
The Wedding Pact (The O'Malleys #2),Three,$32.61,In stock
Hold Your Breath (Search and Rescue #1),One,$28.82,In stock
Dirty (Dive Bar #1),Four,$40.83,In stock
Take Me Home Tonight (Rock Star Romance #3),Three,$53.98,In stock
Off the Hook (Fishing for Trouble #1),Three,$47.67,In stock
A Gentleman's Position (Society of Gentlemen #3),Five,$14.75,In stock
"Sit, Stay, Love",Three,$20.90,In stock
A Girl's Guide to Moving On (New Beginnings #2),One,$31.30,In stock
The Perfect Play (Play by Play #1),Three,$59.99,In stock
Dark Lover (Black Dagger Brotherhood #1),One,$12.87,In stock
Changing the Game (Play by Play #2),Three,$13.38,In stock
A Walk to Remember,One,$56.43,In stock
The Purest Hook (Second Circle Tattoos #3),One,$12.25,In stock
The Obsession,One,$45.43,In stock
Reservations for Two,Three,$11.10,In stock
Best of My Love (Fool's Gold #20),Two,$27.41,In stock
Where Lightning Strikes (Bleeding Stars #3),Three,$39.77,In stock
This One Moment (Pushing Limits #1),One,$48.71,In stock
"Rhythm, Chord & Malykhin",Two,$28.34,In stock
My Perfect Mistake (Over the Top #1),Two,$38.92,In stock
Listen to Me (Fusion #1),Three,$58.99,In stock
