Book Name,Rating,Price,Availability
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Four,$57.36,In stock
Will You Won't You Want Me?,Three,$13.86,In stock
Keep Me Posted,Four,$20.46,In stock
Grey (Fifty Shades #4),Four,$48.49,In stock
Meternity,Three,$43.58,In stock
Some Women,Five,$13.73,In stock
Shopaholic Ties the Knot (Shopaholic #3),Five,$48.39,In stock
Can You Keep a Secret?,One,$21.94,In stock
Twenties Girl,Two,$42.80,In stock
The Undomestic Goddess,Four,$45.75,In stock
The Nanny Diaries (Nanny #1),Five,$52.53,In stock
The Devil Wears Prada (The Devil Wears Prada #1),One,$44.29,In stock
Something Borrowed (Darcy & Rachel #1),Five,$48.96,In stock
Something Blue (Darcy & Rachel #2),One,$54.62,In stock
I've Got Your Number,One,$19.69,In stock
The Edge of Reason (Bridget Jones #2),Four,$19.18,In stock
Bridget Jones's Diary (Bridget Jones #1),One,$29.82,In stock
